date,product,category,city,quantity,price
2026-01-05,Laptop,Electronics,Rabat,2,7500
2026-01-06,Phone,Electronics,Casablanca,3,4000
2026-01-08,Desk,Furniture,Rabat,5,1200
2026-01-10,Headphones,Electronics,Marrakech,4,800
2026-01-12,Chair,Furniture,Casablanca,6,650
2026-01-15,Phone,Electronics,Rabat,2,4000
2026-01-18,Laptop,Electronics,Marrakech,1,7500
2026-01-20,Desk,Furniture,Casablanca,3,1200
2026-01-22,Headphones,Electronics,Rabat,7,800
2026-01-25,Chair,Furniture,Marrakech,4,650
2026-02-02,Phone,Electronics,Casablanca,5,4000
2026-02-05,Laptop,Electronics,Rabat,2,7500
2026-02-08,Desk,Furniture,Marrakech,2,1200
2026-02-11,Headphones,Electronics,Casablanca,8,800
2026-02-15,Chair,Furniture,Rabat,5,650
2026-02-18,Phone,Electronics,Marrakech,3,4000
2026-02-20,Laptop,Electronics,Casablanca,1,7500
2026-02-22,Desk,Furniture,Rabat,4,1200
2026-02-25,Headphones,Electronics,Marrakech,6,800
2026-02-27,Chair,Furniture,Casablanca,7,650
